# title: Vicarello Beakers
# author: Anonymous
# language: la
# date (numeric): 300
# date: around 200 - 400 CE
# description: Dated to between 15 BCE and 15 CE, the Vicarello Beakers are four cylindrical vessels made of silver with heights varying between 95-153 mm. They were discovered in the Roman baths at Vicarello, Italy, apparently deposited as a votive offering. Although differing in the details, on the surface of each beaker is engraved the land route between Gades and Rome. They have traditionally been identified as miniature replicas of a milestone probably erected in Gades, perhaps similar in design to the Miliarium Aureum (the Golden Milestone) in Rome.
# collections: Latin Tradition
toponym;gazetteer_uri;gazetteer_label;lat;lng;place_category;document_part;status;tags;source;comment;img_x;img_y;img_all;
SEGVSIONEM;http://pleiades.stoa.org/places/167919;Segusio;45.1374;7.0454;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item";;XXIIII;;;;
DRVANTIVM;http://pleiades.stoa.org/places/167743;Druantium/*Alpis Cottia/Summae Alpes;44.931;6.7234;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XI;;;;
BRIGANTIVM;http://pleiades.stoa.org/places/167691;Brigantio;44.8969;6.6342;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XVIII;;;;
RAMAM;http://pleiades.stoa.org/places/167881;Rama;44.7505;6.5799;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XVII;;;;
EBVRODVNVM;http://pleiades.stoa.org/places/167750;Eburodunum;44.5623;6.4951;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XVIII;;;;
CATVRIGOMAGVM;http://pleiades.stoa.org/places/167701;Caturigomagus;44.5444;6.276;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XII;;;;
VAPPINCVM;http://pleiades.stoa.org/places/167954;Vappincum;44.5596;6.0798;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XVIII;;;;
ALABONTEM;http://pleiades.stoa.org/places/167628;Alabonte;44.386;5.944;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XVI;;;;
SEGVSTERONEM;http://pleiades.stoa.org/places/157925;Segustero;44.1947;5.9432;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XXIIII;;;;
ALAVNIVM;http://pleiades.stoa.org/places/157800;Alaunium;43.9462;5.8672;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XVI;;;;
CATVIACIAM;http://pleiades.stoa.org/places/148041;Catuiacia;43.8576;5.5962;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XII;;;;
APTAM IVLIAM;http://pleiades.stoa.org/places/147993;Apta Iulia;43.8761;5.3972;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XII;;;;
CABELLIONEM;http://pleiades.stoa.org/places/148027;Cabellio;43.8363;5.0364;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XII;;;;
CLANVM;http://pleiades.stoa.org/places/148093;Glanum;43.7735;4.8329;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;VIII;;;;
ERGNAGINVM;http://pleiades.stoa.org/places/148074;Ernaginum;43.7667;4.6981;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;VI;;;;
ARELATA;http://pleiades.stoa.org/places/148217;Theline/Col. Arelate/Constantina;43.6759;4.6227;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item";;VIIII;;;;
VGERNVM;http://pleiades.stoa.org/places/148223;Ugernum;43.8099;4.6446;SETTLEMENT;Vicarello Beaker 1;VERIFIED;"item, route5";;XV;;;;
