# title: Vicarello Beakers
# places: places_vicarello.csv
# segmentType: hroute
# author: Anonymous
# pub_date: 2013
# contributors: R. Simon
# language: la
# date (numeric): 300
# timespan: [0200,,,0400,around 200 - 400 CE]
# description: Dated to between 15 BCE and 15 CE, the Vicarello Beakers are four cylindrical vessels made of silver with heights varying between 95-153 mm. They were discovered in the Roman baths at Vicarello, Italy, apparently deposited as a votive offering. Although differing in the details, on the surface of each beaker is engraved the land route between Gades and Rome. They have traditionally been identified as miniature replicas of a milestone probably erected in Gades, perhaps similar in design to the Miliarium Aureum (the Golden Milestone) in Rome.
# uri: [http://commons.pelagios.org/2013/10/iwp2-pelagios-and-the-beakers-of-vicarello/;http://pelagios.github.io/demos/vicarello-alpha/complete-sequence/]
# collections: Latin Tradition
collection;route_id;segment_id;source;target;label;geometry;timespan;duration;follows;beaker;tags;distance
vb;3001;3001-38;vb0068;vb0067;AD FINES <> ARRAGONEM;[[1.9277,41.4736],[2.1229,41.5631]];;;;1;item, route4;20
vb;3001;3001-39;vb0067;vb0066;ARRAGONEM <> SEMPRONIANA;[[2.1229,41.5631],[2.3309,41.5827]];;;;1;item, route4;9
vb;3001;3001-40;vb0066;vb0065;SEMPRONIANA <> SETERRAS;[[2.3309,41.5827],[2.6355,41.7465]];;;;1;item, route4;24
vb;3001;3001-41;vb0065;vb0064;SETERRAS <> AQVIS VOCONTIS;[[2.6355,41.7465],[2.8083,41.8382]];;;;1;item, route4;15
vb;3001;3001-42;vb0064;vb0063;AQVIS VOCONTIS <> GERVNDAM;[[2.8083,41.8382],[2.8256,41.9873]];;;;1;item, route4;12
vb;3001;3001-43;vb0063;vb0062;GERVNDAM <> CILNIANAM;[[2.8256,41.9873],[2.9048,42.0947]];;;;1;item, route4;12
vb;3001;3001-44;vb0062;vb0061;CILNIANAM <> IVNCARIAM;[[2.9048,42.0947],[2.9667,42.2754]];;;;1;item, route4;15
vb;3001;3001-45;vb0061;vb0060;IVNCARIAM <> IN PYRAENEVM;[[2.9667,42.2754],[2.869,42.4723]];;;;1;item, route4;16
vb;3001;3001-46;vb0060;vb0059;IN PYRAENEVM <> RVSCINONEM;[[2.869,42.4723],[2.9452,42.7087]];;;;1;item, route4;25
vb;3001;3001-47;vb0059;vb0058;RVSCINONEM <> COMBVSTA;[[2.9452,42.7087],[2.8718,42.7687]];;;;1;item, route4;6
vb;3001;3001-48;vb0058;vb0057;COMBVSTA <> NARBONEM;[[2.8718,42.7687],[3.0036,43.1847]];;;;1;item, route4;32
vb;3001;3001-49;vb0057;vb0056;NARBONEM <> BAETERRAS;[[3.0036,43.1847],[3.2178,43.3416]];;;;1;item, route5;16
vb;3001;3001-50;vb0056;vb0055;BAETERRAS <> CESSERONEM;[[3.2178,43.3416],[3.4206,43.3951]];;;;1;item, route5;13
vb;3001;3001-51;vb0055;vb0054;CESSERONEM <> FORVM DOMITI;[[3.4206,43.3951],[3.7024,43.5115]];;;;1;item, route5;18
vb;3001;3001-52;vb0054;vb0053;FORVM DOMITI <> SEXTANTIONEM;[[3.7024,43.5115],[3.8967,43.6408]];;;;1;item, route5;15
vb;3001;3001-53;vb0053;vb0052;SEXTANTIONEM <> AMBRVSSVM;[[3.8967,43.6408],[4.1495,43.7154]];;;;1;item, route5;15
vb;3001;3001-54;vb0052;vb0051;AMBRVSSVM <> NEMAVSVM;[[4.1495,43.7154],[4.3596,43.8349]];;;;1;item, route5;15
vb;3001;3001-55;vb0051;vb0050;NEMAVSVM <> VGERNVM;[[4.3596,43.8349],[4.6446,43.8099]];;;;1;item, route5;15
vb;3001;3001-56;vb0050;vb0049;VGERNVM <> ARELATA;[[4.6446,43.8099],[4.6227,43.6759]];;;;1;item;9
vb;3001;3001-57;vb0049;vb0048;ARELATA <> ERGNAGINVM;[[4.6227,43.6759],[4.6981,43.7667]];;;;1;item, route5;6
vb;3001;3001-58;vb0048;vb0047;ERGNAGINVM <> CLANVM;[[4.6981,43.7667],[4.8329,43.7735]];;;;1;item, route5;8
vb;3001;3001-59;vb0047;vb0046;CLANVM <> CABELLIONEM;[[4.8329,43.7735],[5.0364,43.8363]];;;;1;item, route5;12
vb;3001;3001-60;vb0046;vb0045;CABELLIONEM <> APTAM IVLIAM;[[5.0364,43.8363],[5.3972,43.8761]];;;;1;item, route5;12
vb;3001;3001-61;vb0045;vb0044;APTAM IVLIAM <> CATVIACIAM;[[5.3972,43.8761],[5.5962,43.8576]];;;;1;item, route5;12
vb;3001;3001-62;vb0044;vb0043;CATVIACIAM <> ALAVNIVM;[[5.5962,43.8576],[5.8672,43.9462]];;;;1;item, route5;16
vb;3001;3001-63;vb0043;vb0042;ALAVNIVM <> SEGVSTERONEM;[[5.8672,43.9462],[5.9432,44.1947]];;;;1;item, route5;24
vb;3001;3001-64;vb0042;vb0041;SEGVSTERONEM <> ALABONTEM;[[5.9432,44.1947],[5.944,44.386]];;;;1;item, route5;16
vb;3001;3001-65;vb0041;vb0040;ALABONTEM <> VAPPINCVM;[[5.944,44.386],[6.0798,44.5596]];;;;1;item, route5;18
vb;3001;3001-66;vb0040;vb0039;VAPPINCVM <> CATVRIGOMAGVM;[[6.0798,44.5596],[6.276,44.5444]];;;;1;item, route5;12
vb;3001;3001-67;vb0039;vb0038;CATVRIGOMAGVM <> EBVRODVNVM;[[6.276,44.5444],[6.4951,44.5623]];;;;1;item, route5;18
vb;3001;3001-68;vb0038;vb0037;EBVRODVNVM <> RAMAM;[[6.4951,44.5623],[6.5799,44.7505]];;;;1;item, route5;17
vb;3001;3001-69;vb0037;vb0036;RAMAM <> BRIGANTIVM;[[6.5799,44.7505],[6.6342,44.8969]];;;;1;item, route5;18
vb;3001;3001-70;vb0036;vb0035;BRIGANTIVM <> DRVANTIVM;[[6.6342,44.8969],[6.7234,44.931]];;;;1;item, route5;11
vb;3001;3001-71;vb0035;vb0034;DRVANTIVM <> SEGVSIONEM;[[6.7234,44.931],[7.0454,45.1374]];;;;1;item;24
vb;3001;3001-72;vb0034;vb0033;SEGVSIONEM <> OCELVM;[[7.0454,45.1374],[7.3319,45.1188]];;;;1;item, route5;27
vb;3001;3001-73;vb0033;vb0032;OCELVM <> TAVRINIS;[[7.3319,45.1188],[7.6854,45.0734]];;;;1;item, route5;20
vb;3001;3001-74;vb0032;vb0031;TAVRINIS <> QVADRATA;[[7.6854,45.0734],[7.9694,45.1911]];;;;1;item,route6;20
vb;3001;3001-75;vb0031;vb0030;QVADRATA <> RIGOMAGVM;[[7.9694,45.1911],[8.2974,45.1931]];;;;1;item,route6;16
vb;3001;3001-76;vb0030;vb0029;RIGOMAGVM <> CVTTIAS;[[8.2974,45.1931],[8.6111,45.1921]];;;;1;item,route6;15
vb;3001;3001-77;vb0029;vb0028;CVTTIAS <> LAVMELLVM;[[8.6111,45.1921],[8.7938,45.1227]];;;;1;item,route6;13
vb;3001;3001-78;vb0028;vb0027;LAVMELLVM <> TICINVM;[[8.7938,45.1227],[9.1566,45.1859]];;;;1;item,route6;21
vb;3001;3001-79;vb0027;vb0026;TICINVM <> PLAMBRVM;[[9.1566,45.1859],[9.5266,45.1574]];;;;1;item,route6;20
vb;3001;3001-80;vb0026;vb0025;PLAMBRVM <> PLACENTIAM;[[9.5266,45.1574],[9.6966,45.0528]];;;;1;item,route6;16
vb;3001;3001-81;vb0025;vb0024;PLACENTIAM <> FLORENTIAM;[[9.6966,45.0528],[9.911,44.9281]];;;;1;item,route6;15
vb;3001;3001-82;vb0024;vb0023;FLORENTIAM <> PARMAM;[[9.911,44.9281],[10.328,44.8015]];;;;1;item,route6;25
vb;3001;3001-83;vb0023;vb0022;PARMAM <> LEPIDVM REGIVM;[[10.328,44.8015],[10.6308,44.6977]];;;;1;item,route6;18
vb;3001;3001-84;vb0022;vb0021;LEPIDVM REGIVM <> MVTINAM;[[10.6308,44.6977],[10.9252,44.6471]];;;;1;item,route6;17
vb;3001;3001-85;vb0021;vb0020;MVTINAM <> BONONIAM;[[10.9252,44.6471],[11.3418,44.4946]];;;;1;item,route6;25
vb;3001;3001-86;vb0020;vb0019;BONONIAM <> CLATERNVM;[[11.3418,44.4946],[11.4747,44.4421]];;;;1;item,route6;10
vb;3001;3001-87;vb0019;vb0018;CLATERNVM <> FORVM CORNELI;[[11.4747,44.4421],[11.7111,44.3535]];;;;1;item,route6;13
vb;3001;3001-88;vb0018;vb0017;FORVM CORNELI <> FAVENTIAM;[[11.7111,44.3535],[11.8845,44.2859]];;;;1;item,route6;10
vb;3001;3001-89;vb0017;vb0016;FAVENTIAM <> FORVM LIVI;[[11.8845,44.2859],[12.0427,44.2212]];;;;1;item,route6;10
vb;3001;3001-90;vb0016;vb0015;FORVM LIVI <> CESENAM;[[12.0427,44.2212],[12.2429,44.1391]];;;;1;item,route6;13
vb;3001;3001-91;vb0015;vb0014;CESENAM <> ARIMINVM;[[12.2429,44.1391],[12.5703,44.0596]];;;;1;item,route6;20
vb;3001;3001-92;vb0014;vb0013;ARIMINVM <> PISAVRVM;[[12.5703,44.0596],[12.9146,43.911]];;;;1;item,route6;24
vb;3001;3001-93;vb0013;vb0012;PISAVRVM <> FANVM FORTVNAE;[[12.9146,43.911],[13.0181,43.8443]];;;;1;item,route6;8
vb;3001;3001-94;vb0012;vb0011;FANVM FORTVNAE <> FORVM SEMPRONI;[[13.0181,43.8443],[12.8291,43.6974]];;;;1;item,route6;16
vb;3001;3001-95;vb0011;vb0010;FORVM SEMPRONI <> AD CALEM;[[12.8291,43.6974],[12.6485,43.5468]];;;;1;item,route6;18
vb;3001;3001-96;vb0010;vb0009;AD CALEM <> HESIM;[[12.6485,43.5468],[12.6693,43.4035]];;;;1;item,route6;13
vb;3001;3001-97;vb0009;vb0008;HESIM <> HELVILLVM;[[12.6693,43.4035],[12.7621,43.2957]];;;;1;item,route6;10
vb;3001;3001-98;vb0008;vb0007;HELVILLVM <> NVCERIAM;[[12.7621,43.2957],[12.7915,43.1135]];;;;1;item,route6;15
vb;3001;3001-99;vb0007;vb0006;NVCERIAM <> MEVANIAM;[[12.7915,43.1135],[12.6094,42.9349]];;;;1;item,route6;19
vb;3001;3001-100;vb0006;vb0005;MEVANIAM <> AD MARTIS;[[12.6094,42.9349],[12.5318,42.7509]];;;;1;item,route6;16
vb;3001;3001-101;vb0005;vb0004;AD MARTIS <> NARNIAM;[[12.5318,42.7509],[12.5156,42.5176]];;;;1;item,route6;18
vb;3001;3001-102;vb0004;vb0003;NARNIAM <> OCRICLO;[[12.5156,42.5176],[12.4663,42.4136]];;;;1;item,route6;12
vb;3001;3001-103;vb0003;vb0002;OCRICLO <> AD XX;[[12.4663,42.4136],[12.4768,42.1484]];;;;1;item,route6;24
vb;3001;3001-104;vb0002;vb0001;AD XX <> ROMAM;[[12.4768,42.1484],[12.4843,41.8926]];;;;1;item,route6;20
