collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;place_category;document_part;status;tags;comment;img_x;img_y;img_all;source
vb;vb0072;SVB SALTVM;http://pleiades.stoa.org/places/246665;Sub Saltu;0.8689;40.9661;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route3;XXXVII;;;;
vb;vb0071;TARRACONEM;http://pleiades.stoa.org/places/246349;Col. Tarraco;1.2581;41.1192;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route3;XXV;;;;
vb;vb0070;PALFVRIANAM;http://pleiades.stoa.org/places/246551;Palfuriana;1.5149;41.204;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route4;XVI;;;;
vb;vb0069;ANTISTIANAM;http://pleiades.stoa.org/places/246166;Antistiana;1.6479;41.3106;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route4;XIII;;;;
vb;vb0068;AD FINES;http://pleiades.stoa.org/places/246135;(Ad) Fines;1.9277;41.4736;;Vicarello Beaker 1;VERIFIED;item, route4;XVII;;;;
vb;vb0067;ARRAGONEM;http://pleiades.stoa.org/places/246192;Arrago(na);2.1229;41.5631;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route4;XX;;;;
vb;vb0066;SEMPRONIANA;http://pleiades.stoa.org/places/246576;Praetorium?;2.3309;41.5827;;Vicarello Beaker 1;VERIFIED;item, route4;VIIII;;;;
vb;vb0065;SETERRAS;http://pleiades.stoa.org/places/246652;Seterrae;2.6355;41.7465;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route4;XXIIII;;;;
vb;vb0064;AQVIS VOCONTIS;http://pleiades.stoa.org/places/246174;Aquae Voconiae;2.8083;41.8382;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route4;XV;;;;
vb;vb0063;GERVNDAM;http://pleiades.stoa.org/places/246406;Gerunda;2.8256;41.9873;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route4;XII;;;;
vb;vb0062;CILNIANAM;http://pleiades.stoa.org/places/246335;Cinniana;2.9048;42.0947;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route4;XII;;;;
vb;vb0061;IVNCARIAM;http://pleiades.stoa.org/places/246449;Iuncaria;2.9667;42.2754;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route4;XV;;;;
vb;vb0060;IN PYRAENEVM;http://pleiades.stoa.org/places/246139;Ad Pyrenaeum/Summus Pyrenaeus;2.869;42.4723;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route4;XVI;;;;
vb;vb0059;RVSCINONEM;http://pleiades.stoa.org/places/246348;Col. Ruscino;2.9452;42.7087;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route4;XXV;;;;
vb;vb0058;COMBVSTA;http://pleiades.stoa.org/places/246351;Combusta;2.8718;42.7687;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route4;VI;;;;
vb;vb0057;NARBONEM;http://pleiades.stoa.org/places/246347;Col. Narbo Martius;3.0036;43.1847;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route4;XXXII;;;;
vb;vb0056;BAETERRAS;http://pleiades.stoa.org/places/148056;Col. Baeterrae;3.2178;43.3416;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XVI;;;;
vb;vb0055;CESSERONEM;http://pleiades.stoa.org/places/147997;Araura/Cessero;3.4206;43.3951;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XIII;;;;
vb;vb0054;FORVM DOMITI;http://pleiades.stoa.org/places/148081;Forum Domitii;3.7024;43.5115;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XVIII;;;;
vb;vb0053;SEXTANTIONEM;http://pleiades.stoa.org/places/148202;Sextantio;3.8967;43.6408;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XV;;;;
vb;vb0052;AMBRVSSVM;http://pleiades.stoa.org/places/147990;Ambrussum;4.1495;43.7154;SETTLEMENT;Vicarello Beaker 1;VERIFIED;item, route5;XV;;;;
