FID,the_geom,SRC,STATUS,SYS_ID,YZ_LABEL,YZNM_PY,YZNM_CH,YZNM_FT,AT_TWN_PY,GB10_CNTY,10CNTY_CH,10CNTY_EN,10DIST_CH,10DIST_EN,10PROV_CH,10PROV_EN,CHGIS_ID,long,lat
ming_courier_stations_2014_p8k.239,POINT (120.67659759521484 30.98777961730957),MDYZK,Y,248,PINGWANG Jiangsu (???),PINGWANG,???,???,,320584,???,Wujiang,???,Suzhou,???,Jiangsu,,120.6766,30.98778
ming_courier_stations_2014_p8k.240,POINT (120.75320434570312 30.76746940612793),MDYZK,Y,249,XISHUI Zhejiang (???),XISHUI,???,???,,330402,???,Xiucheng,???,Jiaxing,???,Zhejiang,1742,120.7532,30.76747
ming_courier_stations_2014_p8k.241,POINT (123.41988372802734 41.78824996948242),MDYZK,Y,250,ZAICHENGYI Liaoning (???),ZAICHENGYI,???,???,SHENYANGZHONGWEI,210103,???,Shenhe,???,Shenyang,???,Liaoning,,123.41988,41.78825
ming_courier_stations_2014_p8k.242,POINT (104.01197799999997 25.65714500000001),PA_1903,L,251,BAISHUISI Yunnan (???),BAISHUISI,???,???,,530328,???,Zhanyi,???,Qujing,???,Yunnan,22468,104.01198,25.65715
ming_courier_stations_2014_p8k.243,POINT (103.95922899999998 22.518724000000013),PA_1903,B,252,HEKOU Yunnan (??),HEKOU,??,??,,532532,???????,Hekouyaozuzhzhixian,??????????,Honghehanizuyizu,???,Yunnan,22699,103.95923,22.51872
ming_courier_stations_2014_p8k.244,POINT (103.39257000000002 23.369949000000013),PA_1903,B,253,MENGZI Yunnan (??),MENGZI,??,??,,532503,???,Mengzi,??????????,Honghehanizuyizu,???,Yunnan,1615,103.39257,23.36995
ming_courier_stations_2014_p8k.245,POINT (104.060753 23.49956700000001),PA_1903,L,254,MATANG Yunnan (??),MATANG,??,??,,532621,???,Wenshan,?????????,Wenshanzhuangzumiaozu,???,Yunnan,22630,104.06075,23.49957
ming_courier_stations_2014_p8k.246,POINT (104.23555 23.376131000000008),PA_1903,L,255,KAIHUA Yunnan (??),KAIHUA,??,??,,532621,???,Wenshan,?????????,Wenshanzhuangzumiaozu,???,Yunnan,9766,104.23555,23.37613
ming_courier_stations_2014_p8k.247,POINT (104.39596299999997 23.021482000000006),PA_1903,L,256,MABAIGUAN Yunnan (???),MABAIGUAN,???,???,,532625,???,Maguan,?????????,Wenshanzhuangzumiaozu,???,Yunnan,22627,104.39596,23.02148
ming_courier_stations_2014_p8k.248,POINT (103.23380999999999 23.71490500000001),PA_1903,L,257,AMI ZHOU Yunnan (???),AMI ZHOU,???,???,,532502,???,Kaiyuan,??????????,Honghehanizuyizu,???,Yunnan,1614,103.23381,23.71491
ming_courier_stations_2014_p8k.249,POINT (103.41073600000001 24.11117400000001),PA_1903,L,258,ZHUYUAN Yunnan (??),ZHUYUAN,??,??,,532526,???,Mile,??????????,Honghehanizuyizu,???,Yunnan,22535,103.41074,24.11117
ming_courier_stations_2014_p8k.250,POINT (103.43320499999997 24.40935900000001),PA_1903,B,259,MILE Yunnan (??),MILE,??,??,,532526,???,Mile,??????????,Honghehanizuyizu,???,Yunnan,1604,103.4332,24.40936
ming_courier_stations_2014_p8k.251,POINT (103.68333435058591 24.833333969116225),PA_1903,N,260,ZHAOKUA Yunnan (??),ZHAOKUA,??,??,,530322,???,Luliang,???,Qujing,???,Yunnan,,103.68333,24.83333
ming_courier_stations_2014_p8k.252,POINT (103.662529 25.03226500000001),PA_1903,B,261,LULIANG Yunnan (??),LULIANG,??,??,,530322,???,Luliang,???,Qujing,???,Yunnan,1571,103.66253,25.03227
ming_courier_stations_2014_p8k.253,POINT (103.09805297851561 24.223054885864272),PA_1903,N,262,POXI Yunnan (??),POXI,??,??,,530424,???,Huaning,???,Yuxi,???,Yunnan,,103.09805,24.22305
ming_courier_stations_2014_p8k.254,POINT (103.115280151367 24.57250022888181),PA_1903,L,263,LUFENG Yunnan (??),LUFENG,??,??,,530125,???,Yiliang,???,Kunming,???,Yunnan,,103.11528,24.5725
ming_courier_stations_2014_p8k.255,POINT (103.14197499999999 24.91106600000001),PA_1903,B,264,YILIANG Yunnan (??),YILIANG,??,??,,530125,???,Yiliang,???,Kunming,???,Yunnan,,103.14197,24.91107
ming_courier_stations_2014_p8k.256,POINT (103.29463999999999 26.420563000000016),PA_1903,L,265,DONGCHUAN Yunnan (??),DONGCHUAN,??,??,,530326,???,Huize,???,Qujing,???,Yunnan,9749,103.29464,26.42056
ming_courier_stations_2014_p8k.257,POINT (104.106407 26.21884200000001),PA_1903,B,266,XUANWEI Yunnan (??),XUANWEI,??,??,,530381,???,Xuanwei,???,Qujing,???,Yunnan,1551,104.10641,26.21884
ming_courier_stations_2014_p8k.258,POINT (102.59973899999997 24.673285000000014),PA_1903,L,267,KUNYANG Yunnan (??),KUNYANG,??,??,,530122,???,Jinning,???,Kunming,???,Yunnan,1599,102.59974,24.67329
ming_courier_stations_2014_p8k.259,POINT (102.537323 24.355511000000018),PA_1903,L,268,XINXING Yunnan (??),XINXING,??,??,,530402,???,Hongta,???,Yuxi,???,Yunnan,1601,102.53732,24.35551
ming_courier_stations_2014_p8k.260,POINT (102.63928199999998 24.141741000000014),PA_1903,L,269,HEXI Yunnan (??),HEXI,??,??,,530423,???,Tonghai,???,Yuxi,???,Yunnan,1591,102.63928,24.14174
ming_courier_stations_2014_p8k.261,POINT (102.755608 24.10607100000001),PA_1903,B,270,TONGHAI Yunnan (??),TONGHAI,??,??,,530423,???,Tonghai,???,Yuxi,???,Yunnan,1595,102.75561,24.10607
ming_courier_stations_2014_p8k.262,POINT (102.488258 23.71901500000001),PA_1903,B,271,SHIPING Yunnan (??),SHIPING,??,??,,532525,???,Shiping,??????????,Honghehanizuyizu,???,Yunnan,1613,102.48826,23.71902
ming_courier_stations_2014_p8k.263,POINT (102.006424 23.60400800000001),PA_1903,B,272,YUANJIANG Yunnan (??),YUANJIANG,??,??,,530428,????????????,Yuanjianghanizuyizudaizuzhz,???,Yuxi,???,Yunnan,9764,102.00642,23.60401
ming_courier_stations_2014_p8k.264,POINT (101.69400161592829 23.4391395305765),PA_1903,L,273,TALANG Yunnan (??),TALANG,??,??,,530822,????????,Mojianghanizuzhzhixian,???,Puer,???,Yunnan,1611,101.694,23.43914
ming_courier_stations_2014_p8k.265,POINT (101.03598933854126 23.070601646536083),PA_1903,L,274,NING'ER Yunnan (??),NING'ER,??,??,,530821,??????????,Ningerhanizuyizuzhzhixian,???,Puer,???,Yunnan,9767,101.03599,23.0706
ming_courier_stations_2014_p8k.266,POINT (102.822311 23.624552000000016),PA_1903,L,275,LIN'ANFU Yunnan (??),LIN'ANFU,??,??,,532524,???,Jianshui,??????????,Honghehanizuyizu,???,Yunnan,9765,102.82231,23.62455
ming_courier_stations_2014_p8k.267,POINT (101.16930525684798 23.161602847368243),PA_1903,L,276,MOHEI Yunnan (??),MOHEI,??,??,,530821,??????????,Ningerhanizuyizuzhzhixian,???,Puer,???,Yunnan,22588,101.16931,23.1616
ming_courier_stations_2014_p8k.268,POINT (101.08333587646482 23.000000000000007),PA_1903,L,277,SHIGAO Yunnan (??),SHIGAO,??,??,,530821,??????????,Ningerhanizuyizuzhzhixian,???,Puer,???,Yunnan,,101.08334,23
ming_courier_stations_2014_p8k.269,POINT (100.98332977294919 22.799999237060558),PA_1903,L,278,PU'ER Yunnan (??),PU'ER,??,??,,530802,???,Simao,???,Puer,???,Yunnan,,100.98333,22.8
ming_courier_stations_2014_p8k.270,POINT (102.474121 24.91844200000001),PA_1903,B,279,ANNING Yunnan (??),ANNING,??,??,,530181,???,Anning,???,Kunming,???,Yunnan,1594,102.47412,24.91844
ming_courier_stations_2014_p8k.271,POINT (102.080101 25.147398000000013),PA_1903,B,280,LUFENG Yunnan (??),LUFENG,??,??,,532331,???,Lufeng,???????,Chuxiongyizu,???,Yunnan,1566,102.0801,25.1474
ming_courier_stations_2014_p8k.272,POINT (101.75338699999999 25.171421000000013),PA_1903,L,281,LUFENG Yunnan (??),LUFENG,??,??,,532331,???,Lufeng,???????,Chuxiongyizu,???,Yunnan,1560,101.75339,25.17142
ming_courier_stations_2014_p8k.273,POINT (101.54286199999999 25.033066000000012),PA_1903,B,282,CHUXIONG Yunnan (??),CHUXIONG,??,??,,532301,???,Chuxiong,???????,Chuxiongyizu,???,Yunnan,9754,101.54286,25.03307
ming_courier_stations_2014_p8k.274,POINT (101.27696199999998 25.196548000000014),MDYZK,Y,283,ZHENNAN Yunnan (???),ZHENNAN,???,???,,532324,???,Nanhua,???????,Chuxiongyizu,???,Yunnan,1563,101.27696,25.19655
ming_courier_stations_2014_p8k.275,POINT (100.55898299999997 25.479092000000012),MDYZK,Y,284,YUNNANYI Yunnan (???),YUNNANYI,???,???,,532923,???,Xiangyun,???????,Dalibaizu,???,Yunnan,1555,100.55898,25.47909
ming_courier_stations_2014_p8k.276,POINT (100.31289700000002 25.58517100000001),MDYZK,Y,285,ZHAOZHOU Yunnan (??),ZHAOZHOU,??,??,,532901,???,Dali,???????,Dalibaizu,???,Yunnan,1623,100.3129,25.58517
ming_courier_stations_2014_p8k.277,POINT (100.16444400000002 25.69783000000001),MDYZK,Y,286,TAIHEYI Yunnan (???),TAIHEYI,???,???,DALIFU,532901,???,Dali,???????,Dalibaizu,???,Yunnan,9753,100.16444,25.69783
ming_courier_stations_2014_p8k.278,POINT (100.100213 25.994296000000006),MDYZK,Y,287,DENGCHUAN Yunnan (??),DENGCHUAN,??,??,,532930,???,Eryuan,???????,Dalibaizu,???,Yunnan,1556,100.10021,25.9943
ming_courier_stations_2014_p8k.279,POINT (100.179276 26.55941800000001),PA_1903,B,288,HEQING Yunnan (??),HEQING,??,??,,532932,???,Heqing,???????,Dalibaizu,???,Yunnan,1548,100.17928,26.55942
ming_courier_stations_2014_p8k.280,POINT (100.23598500000001 26.874634000000015),PA_1903,B,289,LIJIANG Yunnan (??),LIJIANG,??,??,,530702,???,Gucheng,???,Lijiang,???,Yunnan,9768,100.23599,26.87463
ming_courier_stations_2014_p8k.281,POINT (100.226288 25.59046700000001),MDYZK,Y,290,XIAGUAN Yunnan (??),XIAGUAN,??,??,,532901,???,Dali,???????,Dalibaizu,???,Yunnan,22429,100.22629,25.59047
ming_courier_stations_2014_p8k.282,POINT (99.51934099999998 25.46317100000001),MDYZK,Y,291,YONGPING Yunnan (??),YONGPING,??,??,,532928,???,Yongping,???????,Dalibaizu,???,Yunnan,1552,99.51934,25.46317
ming_courier_stations_2014_p8k.283,POINT (99.16686199999998 25.11243600000001),MDYZK,Y,292,YONGCHANG Yunnan (??),YONGCHANG,??,??,,530502,???,Longyang,???,Baoshan,???,Yunnan,9751,99.16686,25.11244
ming_courier_stations_2014_p8k.284,POINT (98.49497999999997 25.024349000000015),MDYZK,Y,293,TENGYUE Yunnan (??),TENGYUE,??,??,,530522,???,Tengchong,???,Baoshan,???,Yunnan,9750,98.49498,25.02435
ming_courier_stations_2014_p8k.285,POINT (98.69038399999997 24.590191000000008),MDYZK,Y,294,LONGLING Yunnan (??),LONGLING,??,??,,530523,???,Longling,???,Baoshan,???,Yunnan,1582,98.69038,24.59019
ming_courier_stations_2014_p8k.286,POINT (100.30888399999998 25.230034000000007),MDYZK,Y,295,MENGHUA Yunnan (??),MENGHUA,??,??,,532927,?????????,Weishanyizuhuizuzhzhixian,???????,Dalibaizu,???,Yunnan,9752,100.30888,25.23003
ming_courier_stations_2014_p8k.287,POINT (105.06199600000001 24.052822000000013),PA_1903,B,296,GUANGNAN Yunnan (??),GUANGNAN,??,??,,532627,???,Guangnan,?????????,Wenshanzhuangzumiaozu,???,Yunnan,9762,105.062,24.05282
ming_courier_stations_2014_p8k.288,POINT (106.61167900000001 23.904539000000018),MDYZK,N,297,BOSAI Guangxi (???),BOSAI,???,???,,451002,???,Youjiang,???,Baise,???????,Guangxi,392,106.61168,23.90454
ming_courier_stations_2014_p8k.289,POINT (106.81833648681639 23.73055648803712),PA_1903,N,298,NABOYI Guangxi (??),NABOYI,??,??,,451021,???,Tianyang,???,Baise,???????,Guangxi,,106.81834,23.73056
ming_courier_stations_2014_p8k.290,POINT (106.908669 23.73387000000001),MDYZK,Y,299,TIANZHOU Guangxi (??),TIANZHOU,??,??,,451021,???,Tianyang,???,Baise,???????,Guangxi,397,106.90867,23.73387
ming_courier_stations_2014_p8k.291,POINT (107.11415899999999 23.60562700000001),MDYZK,Y,300,PINGMA Guangxi (???),PINGMA,???,???,,451022,???,Tiandong,???,Baise,???????,Guangxi,17421,107.11416,23.60563
ming_courier_stations_2014_p8k.292,POINT (107.41062199999999 23.41772800000001),MDYZK,Y,301,GUOHUA Guangxi (???),GUOHUA,???,???,,451023,???,Pingguo,???,Baise,???????,Guangxi,409,107.41062,23.41773
ming_courier_stations_2014_p8k.293,POINT (107.68495199999998 23.178167000000016),PA_1903,B,302,LONG'AN Guangxi (??),LONG'AN,??,??,,450123,???,Longan,???,Nanning,???????,Guangxi,401,107.68495,23.17817
ming_courier_stations_2014_p8k.294,POINT (108.312073 22.80614500000001),MDYZK,Y,303,NANNING Guangxi (???),NANNING,???,???,,450103,???,Xincheng,???,Nanning,???????,Guangxi,9566,108.31207,22.80615
ming_courier_stations_2014_p8k.295,POINT (108.91420699999999 22.804642000000012),PA_1903,N,304,YONGCHANG Guangxi (??),YONGCHANG,??,??,,450127,??,Heng,???,Nanning,???????,Guangxi,450,108.91421,22.80464
ming_courier_stations_2014_p8k.296,POINT (109.13333129882812 22.600000381469737),PA_1903,N,305,NANXIANG Guangxi (??),NANXIANG,??,??,,450127,??,Heng,???,Nanning,???????,Guangxi,,109.13333,22.6
ming_courier_stations_2014_p8k.297,POINT (109.26704400000001 22.692957000000014),MDYZK,Y,306,HENGZHOU Guangxi (??),HENGZHOU,??,??,,450127,??,Heng,???,Nanning,???????,Guangxi,459,109.26704,22.69296
ming_courier_stations_2014_p8k.298,POINT (109.608444 23.09909200000001),MDYZK,Y,307,GUIXIAN Guangxi (??),GUIXIAN,??,??,,450803,???,Gangnan,???,Guigang,???????,Guangxi,420,109.60844,23.09909
ming_courier_stations_2014_p8k.299,POINT (110.07166299999999 23.39457100000001),MDYZK,Y,308,XUNZHOU Guangxi (??),XUNZHOU,??,??,,450881,???,Guiping,???,Guigang,???????,Guangxi,9564,110.07166,23.39457
ming_courier_stations_2014_p8k.300,POINT (109.655029 23.596741000000016),MDYZK,Y,309,WUXUAN Guangxi (??),WUXUAN,??,??,,451323,???,Wuxuan,???,Laibin,???????,Guangxi,419,109.65503,23.59674
ming_courier_stations_2014_p8k.301,POINT (109.682457 23.958055000000012),MDYZK,Y,310,XIANGZHOU Guangxi (??),XIANGZHOU,??,??,,451322,???,Xiangzhou,???,Laibin,???????,Guangxi,418,109.68246,23.95806
ming_courier_stations_2014_p8k.302,POINT (109.404396 24.309988000000008),MDYZK,Y,311,LIUZHOU Guangxi (??),LIUZHOU,??,??,,450203,???,Yufeng,???,Liuzhou,???????,Guangxi,9560,109.4044,24.30999
ming_courier_stations_2014_p8k.303,POINT (109.26011699999998 24.527336000000012),MDYZK,Y,312,LIUCHENG Guangxi (??),LIUCHENG,??,??,,450222,???,Liucheng,???,Liuzhou,???????,Guangxi,379,109.26012,24.52734
ming_courier_stations_2014_p8k.304,POINT (109.248543 25.065443000000013),MDYZK,Y,313,RONGXIAN Guangxi (??),RONGXIAN,??,??,,450225,???????,Rongshuimiaozuzhzhixian,???,Liuzhou,???????,Guangxi,354,109.24854,25.06544
ming_courier_stations_2014_p8k.305,POINT (109.43595800000001 25.37323000000001),MDYZK,Y,314,HUAIYUAN Guangxi (??),HUAIYUAN,??,??,,450225,???????,Rongshuimiaozuzhzhixian,???,Liuzhou,???????,Guangxi,353,109.43596,25.37323
ming_courier_stations_2014_p8k.306,POINT (109.595757 25.78535500000001),PA_1903,N,315,GUNI Guangxi (??),GUNI,??,??,,450226,???????,Sanjiangdongzuzhzhixian,???,Liuzhou,???????,Guangxi,17317,109.59576,25.78536
ming_courier_stations_2014_p8k.307,POINT (108.65588399999997 24.49073000000001),MDYZK,N,316,YIYANGYI Guangxi (???),YIYANGYI,???,???,,451281,???,Yizhou,???,Chizhou,???????,Guangxi,9559,108.65588,24.49073
ming_courier_stations_2014_p8k.308,POINT (108.256378 24.829609000000012),PA_1903,N,317,SI'EN Guangxi (??),SI'EN,??,??,,451226,????????,Huanjiangmaonanzuzhzhixian,???,Chizhou,???????,Guangxi,375,108.25638,24.82961
ming_courier_stations_2014_p8k.309,POINT (109.60909999999998 24.41452000000001),MDYZK,N,318,LUORONG Guangxi (??),LUORONG,??,??,,450223,???,Luzhai,???,Liuzhou,???????,Guangxi,379,109.6091,24.41452
ming_courier_stations_2014_p8k.310,POINT (109.73332977294922 24.4833335876465),MDYZK,N,319,HENGTANGYI Guangxi (???),HENGTANGYI,???,???,,450223,???,Luzhai,???,Liuzhou,???????,Guangxi,,109.73333,24.48333
ming_courier_stations_2014_p8k.311,POINT (109.98114976464498 24.981733405897042),MDYZK,Y,320,YONGFU Guangxi (??),YONGFU,??,??,,450326,???,Yongfu,???,Guilin,???????,Guangxi,352,109.98115,24.98173
ming_courier_stations_2014_p8k.312,POINT (110.055511 25.107773000000012),MDYZK,Y,321,SUQIAO Guangxi (???),SUQIAO,???,???,,450326,???,Yongfu,???,Guilin,???????,Guangxi,17323,110.05551,25.10777
ming_courier_stations_2014_p8k.313,POINT (109.388168 25.217857000000013),PA_1903,L,322,RONG?AN Guangxi (??),RONG?AN,??,??,,450224,???,Rongan,???,Liuzhou,???????,Guangxi,17316,109.38817,25.21786
ming_courier_stations_2014_p8k.314,POINT (108.464844 24.56666000000001),PA_1903,N,323,HUAIYUANZHEN Guangxi (???),HUAIYUANZHEN,???,???,,451281,???,Yizhou,???,Chizhou,???????,Guangxi,17364,108.46484,24.56666
ming_courier_stations_2014_p8k.315,POINT (110.28700999999998 25.003666000000006),MDYZK,N,324,LEITANGYI Guangxi (???),LEITANGYI,???,???,,450322,???,Lingui,???,Guilin,???????,Guangxi,17389,110.28701,25.00367
ming_courier_stations_2014_p8k.316,POINT (110.48362699999998 24.77775800000001),MDYZK,Y,325,YANGSHUO Guangxi (??),YANGSHUO,??,??,,450321,???,Yangshuo,???,Guilin,???????,Guangxi,383,110.48363,24.77776
ming_courier_stations_2014_p8k.317,POINT (110.6465 24.635727000000013),MDYZK,N,326,ZHAOJINYI Guangxi (???),ZHAOJINYI,???,???,,450330,???,Pingle,???,Guilin,???????,Guangxi,9561,110.6465,24.63573
ming_courier_stations_2014_p8k.318,POINT (109.1500015258789 21.68333244323732),PA_1903,B,327,HEPU Guangxi (??),HEPU,??,??,,450521,???,Hepu,???,Beihai,???????,Guangxi,321,109.15,21.68333
ming_courier_stations_2014_p8k.319,POINT (109.97141299999998 22.27586900000001),PA_1903,B,328,BOBAI Guangxi (??),BOBAI,??,??,,450923,???,Bobai,???,Yulin,???????,Guangxi,452,109.97141,22.27587
ming_courier_stations_2014_p8k.320,POINT (110.14588199999999 22.63209500000001),MDYZK,Y,329,YULIN Guangxi (??),YULIN,??,??,,450902,???,Yuzhou,???,Yulin,???????,Guangxi,9567,110.14588,22.6321
ming_courier_stations_2014_p8k.321,POINT (110.347519 22.714184000000007),MDYZK,Y,330,BEILIU Guangxi (??),BEILIU,??,??,,450981,???,Beiliu,???,Yulin,???????,Guangxi,454,110.34752,22.71418
ming_courier_stations_2014_p8k.322,POINT (110.551033 22.863588000000014),MDYZK,Y,331,RONGXIAN Guangxi (??),RONGXIAN,??,??,,450921,??,Rong,???,Yulin,???????,Guangxi,456,110.55103,22.86359
ming_courier_stations_2014_p8k.323,POINT (110.90428199999998 23.373119000000006),MDYZK,Y,332,TENGXIAN Guangxi (??),TENGXIAN,??,??,,450422,??,Teng,???,Wuzhou,???????,Guangxi,422,110.90428,23.37312
ming_courier_stations_2014_p8k.324,POINT (110.74472045898438 23.46750068664552),PA_1903,N,333,MENGJIANG Guangxi (??),MENGJIANG,??,??,,450422,??,Teng,???,Wuzhou,???????,Guangxi,,110.74472,23.4675
ming_courier_stations_2014_p8k.325,POINT (110.59278106689499 23.460277557373015),PA_1903,P,334,BAIMAXU Guangxi (??),BAIMAXU,??,??,,450821,???,Pingnan,???,Guigang,???????,Guangxi,,110.59278,23.46028
ming_courier_stations_2014_p8k.326,POINT (110.50966978009649 23.388168447916122),PA_1903,N,335,DAWUXU Guangxi (??),DAWUXU,??,??,,450821,???,Pingnan,???,Guigang,???????,Guangxi,17459,110.50967,23.38817
ming_courier_stations_2014_p8k.327,POINT (110.52222442626953 23.469444274902354),PA_1903,N,336,DANZHU Guangxi (??),DANZHU,??,??,,450821,???,Pingnan,???,Guigang,???????,Guangxi,,110.52222,23.46944
ming_courier_stations_2014_p8k.328,POINT (110.39473699999999 23.549980000000016),MDYZK,Y,337,PINGNAN Guangxi (??),PINGNAN,??,??,,450821,???,Pingnan,???,Guigang,???????,Guangxi,421,110.39474,23.54998
ming_courier_stations_2014_p8k.329,POINT (110.21003000000002 23.60026700000001),MDYZK,N,338,BITANYI Guangxi (???),BITANYI,???,???,,450881,???,Guiping,???,Guigang,???????,Guangxi,17461,110.21003,23.60027
ming_courier_stations_2014_p8k.330,POINT (109.08052044206867 21.613029530474734),PA_1903,L,339,BEIHAI Guangxi (??),BEIHAI,??,??,,450521,???,Hepu,???,Beihai,???????,Guangxi,,109.08052,21.61303
ming_courier_stations_2014_p8k.331,POINT (110.01667022705078 21.450000762939467),PA_1903,L,340,ANPU Guangdong (??),ANPU,??,??,,440881,???,Lianjiang,???,Zhanjiang,???,Guangdong,,110.01667,21.45
ming_courier_stations_2014_p8k.332,POINT (107.87840299999999 25.41436000000001),PA_1903,B,341,LIBO Guizhou (??),LIBO,??,??,,522722,???,Libo,??????????,Qiannanbuyizumiaozu,???,Guizhou,515,107.8784,25.41436
ming_courier_stations_2014_p8k.333,POINT (107.54274699999999 25.829073000000015),MDYZK,N,342,LAIYUANYI Guizhou (???),LAIYUANYI,???,???,,522726,???,Dushan,??????????,Qiannanbuyizumiaozu,???,Guizhou,516,107.54275,25.82907
ming_courier_stations_2014_p8k.334,POINT (109.68408199999999 27.447302000000015),MDYZK,N,343,YUANSHUIYI Hunan (???),YUANSHUIYI,???,???,,431228,???????,Zhijiangdongzuzizhixian,???,Huaihua,???,Hunan,9623,109.68408,27.4473
ming_courier_stations_2014_p8k.335,POINT (106.639313 29.02525900000002),MDYZK,Y,344,QIJIANG Chongqing (??),QIJIANG,??,??,,500222,???,Qijiang,???????,Chongqing (Counties),???,Chongqing,1278,106.63931,29.02526
ming_courier_stations_2014_p8k.336,POINT (106.85136400000002 28.542830000000013),PA_1903,N,345,SONGKANYI Guizhou (??),SONGKANYI,??,??,,520322,???,Tongzi,???,Zunyi,???,Guizhou,17537,106.85136,28.54283
ming_courier_stations_2014_p8k.337,POINT (106.931602 27.695621000000013),PA_1903,N,346,ZUNYI Guizhou (??),ZUNYI,??,??,,520302,????,Honghuagang,???,Zunyi,???,Guizhou,9572,106.9316,27.69562
ming_courier_stations_2014_p8k.338,POINT (106.967384 27.058855000000015),PA_1903,B,347,KAIZHOU Guizhou (???),KAIZHOU,???,???,,520121,???,Kaiyang,???,Guiyang,???,Guizhou,467,106.96738,27.05886
ming_courier_stations_2014_p8k.339,POINT (106.59192700000001 26.84299700000001),PA_1903,N,348,XIUWEN Guizhou (??),XIUWEN,??,??,,520123,???,Xiuwen,???,Guiyang,???,Guizhou,489,106.59193,26.843
ming_courier_stations_2014_p8k.340,POINT (110.622292 26.730705000000015),MDYZK,Y,349,WUGANG Hunan (??),WUGANG,??,??,,430581,???,Wugang,???,Shaoyang,???,Hunan,725,110.62229,26.73071
ming_courier_stations_2014_p8k.341,POINT (109.99160000000002 27.11277600000001),MDYZK,Y,350,HONGJIANG Hunan (???),HONGJIANG,???,???,,431281,???,Hongjiang,???,Huaihua,???,Hunan,18773,109.9916,27.11278
ming_courier_stations_2014_p8k.342,POINT (109.811852 27.195129000000016),MDYZK,Y,351,QIANYANG Hunan (??),QIANYANG,??,??,,431281,???,Hongjiang,???,Huaihua,???,Hunan,712,109.81185,27.19513
ming_courier_stations_2014_p8k.343,POINT (109.69477800000001 26.57576000000001),MDYZK,Y,352,JINGZHOU Hunan (??),JINGZHOU,??,??,,431229,?????????,Jingzhoumiaozudongzuzizhixi,???,Huaihua,???,Hunan,9625,109.69478,26.57576
ming_courier_stations_2014_p8k.344,POINT (109.713547 26.861492000000013),MDYZK,Y,353,HUITONG Hunan (??),HUITONG,??,??,,431225,???,Huitong,???,Huaihua,???,Hunan,721,109.71355,26.86149
ming_courier_stations_2014_p8k.345,POINT (110.484711 29.127953000000012),MDYZK,N,354,YONGDINGWEI Hunan (???),YONGDINGWEI,???,???,,430802,???,Yongding,????,Zhangjiajie,???,Hunan,687,110.48471,29.12795
ming_courier_stations_2014_p8k.346,POINT (111.121712 29.426342000000023),PA_1903,B,355,CILI Hunan (??),CILI,??,??,,430821,???,Cili,????,Zhangjiajie,???,Hunan,689,111.12171,29.42634
ming_courier_stations_2014_p8k.347,POINT (111.37361100000001 29.58854300000002),MDYZK,Y,356,SHIMEN Hunan (??),SHIMEN,??,??,,430726,???,Shimen,???,Changde,???,Hunan,727,111.37361,29.58854
ming_courier_stations_2014_p8k.348,POINT (112.78163100000002 28.46236400000001),PA_1903,N,357,JINGGANG Hunan (??),JINGGANG,??,??,,430122,???,Wangcheng,???,Changsha,???,Hunan,,112.78163,28.46236
ming_courier_stations_2014_p8k.349,POINT (113.262848 28.96237800000001),MDYZK,Y,358,DAJINGYI Hunan (???),DAJINGYI,???,???,,430681,???,Miluo,???,Yueyang,???,Hunan,18760,113.26285,28.96238
ming_courier_stations_2014_p8k.350,POINT (113.2333297729492 29.50000000000001),MDYZK,Y,359,YUNXI Hunan (???),YUNXI,???,???,,430603,???,Yunxi,???,Yueyang,???,Hunan,,113.23333,29.5
ming_courier_stations_2014_p8k.351,POINT (113.70691 29.530635000000018),MDYZK,N,360,GANGKOUYI Hubei (???),GANGKOUYI,???,???,,421281,???,Chibi,???,Xianning,???,Hubei,18613,113.70691,29.53064
ming_courier_stations_2014_p8k.352,POINT (113.78333282470702 29.633333206176818),MDYZK,Y,361,FENGSHANYI Hubei (???),FENGSHANYI,???,???,,421281,???,Chibi,???,Xianning,???,Hubei,,113.78333,29.63333
ming_courier_stations_2014_p8k.353,POINT (114.063148 24.945763000000007),MDYZK,Y,362,SHIXING Guangdong (??),SHIXING,??,??,,440222,???,Shixing,???,Shaoguan,???,Guangdong,278,114.06315,24.94576
ming_courier_stations_2014_p8k.354,POINT (111.93868299999998 25.598452000000012),PA_1903,B,363,NINGYUAN Hunan (??),NINGYUAN,??,??,,431126,???,Ningyuan,???,Yongzhou,???,Hunan,741,111.93868,25.59845
ming_courier_stations_2014_p8k.355,POINT (111.5812 25.188269000000012),PA_1903,N,364,JIANGHUA Hunan (??),JIANGHUA,??,??,,431129,???????,Jianghuayaozuzizhixian,???,Yongzhou,???,Hunan,740,111.5812,25.18827
ming_courier_stations_2014_p8k.356,POINT (111.33644899999999 25.27697400000001),PA_1903,N,365,YONGMING Hunan (??),YONGMING,??,??,,431125,???,Jiangyong,???,Yongzhou,???,Hunan,739,111.33645,25.27697
ming_courier_stations_2014_p8k.357,POINT (113.83863799999999 27.631424000000013),MDYZK,Y,366,PINGXIANG Jiangxi (??),PINGXIANG,??,??,,360302,???,Anyuan,???,Pingxiang,???,Jiangxi,814,113.83864,27.63142
ming_courier_stations_2014_p8k.358,POINT (113.49410199999998 27.66851800000001),PA_1903,B,367,LILING Hunan (??),LILING,??,??,,430281,???,Liling,???,Zhuzhou,???,Hunan,720,113.4941,27.66852
