FID,the_geom,SRC,STATUS,SYS_ID,YZ_LABEL,YZNM_PY,YZNM_CH,YZNM_FT,AT_TWN_PY,GB10_CNTY,10CNTY_CH,10CNTY_EN,10DIST_CH,10DIST_EN,10PROV_CH,10PROV_EN,CHGIS_ID,long,lat
ming_courier_stations_2014_p8k.184,POINT (116.28741455078125 37.45164489746094),MDYZK,Y,186,ANDE Shandong (??),ANDE,??,??,,371402,???,Decheng,???,Dezhou,???,Shandong,936,116.28741,37.45164
ming_courier_stations_2014_p8k.185,POINT (116.2991714477539 35.910343170166016),MDYZK,Y,187,DONGYUAN Shandong (???),DONGYUAN,???,???,,370923,???,Dongping,???,Taian,???,Shandong,986,116.29917,35.91034
ming_courier_stations_2014_p8k.186,POINT (116.36800384521484 39.931427001953125),MDYZK,N,188,HUITONGGUAN Beijing (???),HUITONGGUAN,???,???,,110102,???,Xicheng,???????,Beijing (Districts),???,Beijing,20013,116.368,39.93143
ming_courier_stations_2014_p8k.187,POINT (116.42906951904297 37.15773391723633),MDYZK,Y,189,TAOYUAN Shandong (???),TAOYUAN,???,???,,371426,???,Pingyuan,???,Dezhou,???,Shandong,932,116.42907,37.15773
ming_courier_stations_2014_p8k.188,POINT (116.48555755615234 35.729854583740234),MDYZK,Y,190,XINQIAO Shandong (???),XINQIAO,???,???,,370830,???,Wenshang,???,Jining,???,Shandong,990,116.48556,35.72985
ming_courier_stations_2014_p8k.189,POINT (116.56719970703125 30.630346298217773),MDYZK,Y,191,QINGKOU Anhui (???),QINGKOU,???,???,,340824,???,Qianshan,???,Anqing,???,Anhui,1571,116.5672,30.63035
ming_courier_stations_2014_p8k.190,POINT (116.65238952636719 36.94535827636719),MDYZK,Y,192,LIUPU Shandong (???),LIUPU,???,???,,371482,???,Yucheng,???,Dezhou,???,Shandong,957,116.65239,36.94536
ming_courier_stations_2014_p8k.191,POINT (116.65880584716797 39.905921936035156),MDYZK,Y,193,LUHE Beijing (???),LUHE,???,???,,110112,???,Tongzhou,???????,Beijing (Districts),???,Beijing,102,116.65881,39.90592
ming_courier_stations_2014_p8k.192,POINT (116.7232437133789 36.55282974243164),MDYZK,Y,194,DONGBEIZHIYI Shandong (????),DONGBEIZHIYI,????,????,CHANGQING,370113,???,Changqing,???,Jinan,???,Shandong,956,116.72324,36.55283
ming_courier_stations_2014_p8k.193,POINT (116.78063201904297 36.70107650756836),MDYZK,Y,195,YANCHENG Shandong (???),YANCHENG,???,???,,371425,???,Qihe,???,Dezhou,???,Shandong,962,116.78063,36.70108
ming_courier_stations_2014_p8k.194,POINT (116.82369995117188 35.556697845458984),MDYZK,Y,196,CHANGPINGYI Shandong (???),CHANGPINGYI,???,???,YANZHOUFU,370882,???,Yanzhou,???,Jining,???,Shandong,9676,116.8237,35.5567
ming_courier_stations_2014_p8k.195,POINT (116.93853759765625 31.45644760131836),MDYZK,Y,197,SHUCHENG Anhui (???),SHUCHENG,???,???,,341523,???,Shucheng,???,Liuan,???,Anhui,1641,116.93854,31.45645
ming_courier_stations_2014_p8k.196,POINT (116.93860626220703 31.05228042602539),MDYZK,Y,198,LVTING Anhui (???),LVTING,???,???,,340881,???,Tongcheng,???,Anqing,???,Anhui,1603,116.93861,31.05228
ming_courier_stations_2014_p8k.197,POINT (116.96843719482422 35.4038200378418),MDYZK,Y,199,ZHU Shandong (???),ZHU,???,???,,370883,???,Zoucheng,???,Jining,???,Shandong,989,116.96844,35.40382
ming_courier_stations_2014_p8k.198,POINT (116.97139739990234 33.64236831665039),MDYZK,N,200,SUIYANGYI Anhui (???),SUIYANGYI,???,???,,341302,???,Yongqiao,???,Suzhou,???,Anhui,1589,116.9714,33.64237
ming_courier_stations_2014_p8k.199,POINT (117.0014877319336 36.65013122558594),MDYZK,N,201,TANGCHENGYI Shandong (???),TANGCHENGYI,???,???,JI'NANFU,370103,???,Shizhong,???,Jinan,???,Shandong,20160,117.00149,36.65013
ming_courier_stations_2014_p8k.200,POINT (117.07611846923828 39.9827880859375),MDYZK,Y,202,SANHE Hebei (???),SANHE,???,???,,131082,???,Sanhe,???,Langfang,???,Hebei,113,117.07612,39.98279
