# title: Ming Dynasty Courier Routes and Postal Stations
# places: places_courier.csv
# timespan: [1368,,,1644,Late Ming Dynasty]
# pub_date: 2014
# segmentType: hroute
# contributors: [Lex Berman (CGA, Harvard Univ); Zhang Wei (Nankai University, Tianjin)]
# description: The Late Ming Dynasty Courier Stations and Routes were compiled primarily from the "Mingdai Yizhankao" by YANG Zhengtai, supplemented for some areas with information derived from the 1908 Postal Atlas. The Courier Stations and Routes were developed for use in an online network analyst application, which calculates the shortest route between selected postal stations on the fly:    http://maps.cga.harvard.edu/chinapostoffice/
# uri: https://github.com/kgeographer/topotime/tree/master/data/source/courier/README_Ming_Courier_Routes_Stations_2014.txt
collection;route_id;segment_id;source;target;label;geometry;timespan;duration;follows;maj_minor;src
courier;4000;4000-26;195;201;YANCHENG Shandong (宴城驿) - TANGCHENGYI Shandong (谭城驿);{"type":"MultiLineString","coordinates":[[[116.780632019043,36.7010765075684],[117.001487731934,36.6501312255859]]]};;;;1;MDYZK
courier;4000;4000-27;156;158;YONGDING Hebei (永定驿) - DICHENG Hebei (翟城驿);{"type":"MultiLineString","coordinates":[[[115.133422851562,38.705265045166],[114.975044250488,38.5200614929199]]]};;;;1;
courier;4000;4000-28;151;156;XILE Hebei (西乐驿) - YONGDING Hebei (永定驿);{"type":"MultiLineString","coordinates":[[[114.975044250488,38.5200614929199],[114.787605285645,38.3950424194336]]]};;;;1;
courier;4000;4000-29;144;151;HENGSHANYI Hebei (恒山驿) - XILE Hebei (西乐驿);{"type":"MultiLineString","coordinates":[[[114.787605285645,38.3950424194337],[114.56364440918,38.1401100158692]]]};;;;1;1903 atlas
courier;4000;4000-30;145;149;GUANCHENG Hebei (关城驿) - ZHAOZHOU Hebei (鄗城驿);{"type":"MultiLineString","coordinates":[[[114.652694702148,37.8857803344727],[114.772178649902,37.7529258728027]]]};;;;1;MDYZK
courier;4000;4000-31;143;146;ZHONGQIUYI Hebei (中丘驿) - HUAISHUI Hebei (槐水驿);{"type":"MultiLineString","coordinates":[[[114.68058013916,37.4946899414062],[114.511863708496,37.2950019836427]]]};;;;1;MDYZK
courier;4000;4000-32;142;143;LONGGANG Hebei (龙冈驿) - ZHONGQIUYI Hebei (中丘驿);{"type":"MultiLineString","coordinates":[[[114.511863708496,37.2950019836426],[114.494262695312,37.0663566589355]]]};;;;1;
courier;4000;4000-33;142;507;LONGGANG Hebei (龙冈驿) - LINMINGYI Hebei (临铭驿);{"type":"MultiLineString","coordinates":[[[114.494262695313,37.0663566589355],[114.499619,36.936829]]]};;;;1;1903 atlas
courier;4000;4000-34;140;517;CIZHOU Hebei (磁州) - MATOU Hebei (码头);{"type":"MultiLineString","coordinates":[[[114.423614501953,36.4736099243165],[114.374244689942,36.359043121338]]]};;;;1;
courier;4000;4000-35;137;140;YECHENG Henan (邺城驿) - CIZHOU Hebei (磁州);{"type":"MultiLineString","coordinates":[[[114.374244689941,36.3590431213379],[114.345497131348,36.0983428955078]]]};;;;1;
courier;4000;4000-36;137;139;YECHENG Henan (邺城驿) - YIGOU Henan (宜沟);{"type":"MultiLineString","coordinates":[[[114.345497131348,36.0983428955078],[114.352691650391,35.9255180358887]]]};;;;1;
courier;4000;4000-37;128;139;QIMEN Henan (淇门驿) - YIGOU Henan (宜沟);{"type":"MultiLineString","coordinates":[[[114.352691650391,35.9255180358887],[114.194366455078,35.6064491271973]]]};;;;1;
courier;4000;4000-38;127;128;WEIYUANYI Henan (卫源驿) - QIMEN Henan (淇门驿);{"type":"MultiLineString","coordinates":[[[114.194366455078,35.6064491271973],[114.070266723633,35.4103851318359]]]};;;;1;
courier;4000;4000-39;127;129;WEIYUANYI Henan (卫源驿) - LITINGYI Henan (廪廷驿);{"type":"MultiLineString","coordinates":[[[114.070266723633,35.4103851318359],[114.194686889648,35.1427612304688]]]};;;;1;MDYZK
courier;4000;4000-40;134;144;ZHENNING Hebei (镇宁驿) - HENGSHANYI Hebei (恒山驿);{"type":"MultiLineString","coordinates":[[[114.56364440918,38.1401100158691],[114.307723999023,38.0831108093262]]]};;;;2;MDYZK
