collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;status;source;comment
courier;320;YONGFU Guangxi (永福);http://maps.cga.harvard.edu/tgaz/placename/hvd_352;;109.981150;24.981733;Y;MDYZK;
courier;321;SUQIAO Guangxi (苏桥驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_17323;;110.055511;25.107773;Y;MDYZK;
courier;322;RONG’AN Guangxi (融安);http://maps.cga.harvard.edu/tgaz/placename/hvd_153924;;109.388168;25.217857;L;PA_1903;
courier;323;HUAIYUANZHEN Guangxi (怀远镇);http://maps.cga.harvard.edu/tgaz/placename/hvd_17364;;108.464844;24.566660;N;PA_1903;
courier;324;LEITANGYI Guangxi (雷塘驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_17389;;110.287010;25.003666;N;MDYZK;
courier;325;YANGSHUO Guangxi (阳朔);http://maps.cga.harvard.edu/tgaz/placename/hvd_383;;110.483627;24.777758;Y;MDYZK;
courier;326;ZHAOJINYI Guangxi (昭津驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_9561;;110.646500;24.635727;N;MDYZK;
courier;327;HEPU Guangxi (合浦);http://maps.cga.harvard.edu/tgaz/placename/hvd_321;;109.150002;21.683332;B;PA_1903;
courier;328;BOBAI Guangxi (博白);http://maps.cga.harvard.edu/tgaz/placename/hvd_452;;109.971413;22.275869;B;PA_1903;
courier;329;YULIN Guangxi (郁林);http://maps.cga.harvard.edu/tgaz/placename/hvd_9567;;110.145882;22.632095;Y;MDYZK;
courier;330;BEILIU Guangxi (北流);http://maps.cga.harvard.edu/tgaz/placename/hvd_454;;110.347519;22.714184;Y;MDYZK;
courier;331;RONGXIAN Guangxi (容县);http://maps.cga.harvard.edu/tgaz/placename/hvd_456;;110.551033;22.863588;Y;MDYZK;
courier;332;TENGXIAN Guangxi (藤县);http://maps.cga.harvard.edu/tgaz/placename/hvd_422;;110.904282;23.373119;Y;MDYZK;
courier;333;MENGJIANG Guangxi (濛江);http://maps.cga.harvard.edu/tgaz/placename/hvd_35038;;110.735909;23.475643;N;PA_1903;
courier;334;BAIMAXU Guangxi (白马);http://maps.cga.harvard.edu/tgaz/placename/hvd_155007;;110.588886;23.465922;P;PA_1903;
courier;335;DAWUXU Guangxi (大乌);http://maps.cga.harvard.edu/tgaz/placename/hvd_17459;;110.509670;23.388168;N;PA_1903;
courier;336;DANZHU Guangxi (丹竹);http://maps.cga.harvard.edu/tgaz/placename/hvd_155006;;110.524315;23.476589;N;PA_1903;
courier;337;PINGNAN Guangxi (平南);http://maps.cga.harvard.edu/tgaz/placename/hvd_421;;110.394737;23.549980;Y;MDYZK;
courier;338;BITANYI Guangxi (碧潭驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_154983;;110.210030;23.600267;N;MDYZK;
courier;339;BEIHAI Guangxi (北海);;;109.080520;21.613030;L;PA_1903;
courier;340;ANPU Guangdong (安铺);http://maps.cga.harvard.edu/tgaz/placename/hvd_127047;;110.016045;21.458857;L;PA_1903;
courier;341;LIBO Guizhou (荔波);http://maps.cga.harvard.edu/tgaz/placename/hvd_515;;107.878403;25.414360;B;PA_1903;
courier;342;LAIYUANYI Guizhou (来远驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_99081;;107.542747;25.829073;N;MDYZK;
courier;343;YUANSHUIYI Hunan (沅水驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_9623;;109.684082;27.447302;N;MDYZK;
courier;344;QIJIANG Chongqing (綦江);http://maps.cga.harvard.edu/tgaz/placename/hvd_1278;;106.639313;29.025259;Y;MDYZK;
courier;345;SONGKANYI Guizhou (松坎);http://maps.cga.harvard.edu/tgaz/placename/hvd_17537;;106.851364;28.542830;N;PA_1903;
courier;347;KAIZHOU Guizhou (开州驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_99151;;106.967384;27.058855;B;PA_1903;
courier;348;XIUWEN Guizhou (修文);http://maps.cga.harvard.edu/tgaz/placename/hvd_99140;;106.591927;26.842997;N;PA_1903;
courier;349;WUGANG Hunan (武冈);http://maps.cga.harvard.edu/tgaz/placename/hvd_42026;;110.622292;26.730705;Y;MDYZK;
courier;350;HONGJIANG Hunan (洪江驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_18773;;109.991600;27.112776;Y;MDYZK;
courier;351;QIANYANG Hunan (黔阳);http://maps.cga.harvard.edu/tgaz/placename/hvd_42078;;109.811852;27.195129;Y;MDYZK;
courier;352;JINGZHOU Hunan (靖州);http://maps.cga.harvard.edu/tgaz/placename/hvd_9625;;109.694778;26.575760;Y;MDYZK;
courier;353;HUITONG Hunan (会同);http://maps.cga.harvard.edu/tgaz/placename/hvd_41892;;109.713547;26.861492;Y;MDYZK;
courier;354;YONGDINGWEI Hunan (永定卫);http://maps.cga.harvard.edu/tgaz/placename/hvd_41946;;110.484711;29.127953;N;MDYZK;
courier;355;CILI Hunan (慈利);http://maps.cga.harvard.edu/tgaz/placename/hvd_41942;;111.121712;29.426342;B;PA_1903;
courier;356;SHIMEN Hunan (石门);http://maps.cga.harvard.edu/tgaz/placename/hvd_41948;;111.373611;29.588543;Y;MDYZK;
courier;357;JINGGANG Hunan (靖港);http://maps.cga.harvard.edu/tgaz/placename/hvd_129178;;112.781631;28.462364;N;PA_1903;
courier;358;DAJINGYI Hunan (大荆驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_18760;;113.262848;28.962378;Y;MDYZK;
courier;359;YUNXI Hunan (云谿驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_131059;;113.263153;29.473049;Y;MDYZK;
courier;360;GANGKOUYI Hubei (港口驿);http://maps.cga.harvard.edu/tgaz/placename/hvd_18613;;113.706910;29.530635;N;MDYZK;
courier;361;FENGSHANYI Hubei (凤山驿);;;113.783333;29.633333;Y;MDYZK;
courier;362;SHIXING Guangdong (始兴);http://maps.cga.harvard.edu/tgaz/placename/hvd_42596;;114.063148;24.945763;Y;MDYZK;
courier;363;NINGYUAN Hunan (宁远);http://maps.cga.harvard.edu/tgaz/placename/hvd_41974;;111.938683;25.598452;B;PA_1903;
courier;364;JIANGHUA Hunan (江华);http://maps.cga.harvard.edu/tgaz/placename/hvd_121213;;111.582420;25.189919;N;PA_1903;
courier;365;YONGMING Hunan (永明);http://maps.cga.harvard.edu/tgaz/placename/hvd_41986;;111.336449;25.276974;N;PA_1903;
courier;366;PINGXIANG Jiangxi (萍乡);http://maps.cga.harvard.edu/tgaz/placename/hvd_40974;;113.838638;27.631424;Y;MDYZK;
courier;367;LILING Hunan (醴陵);http://maps.cga.harvard.edu/tgaz/placename/hvd_720;;113.494102;27.668518;B;PA_1903;
courier;368;ZHUZHOU Hunan (株洲);http://maps.cga.harvard.edu/tgaz/placename/hvd_18838;;113.150009;27.852556;N;PA_1903;
courier;369;LIBUTOU Guangdong (犁步头);http://maps.cga.harvard.edu/tgaz/placename/hvd_126321;;113.527947;24.896215;N;PA_1903;
courier;370;LECHANG Guangdong (乐昌);http://maps.cga.harvard.edu/tgaz/placename/hvd_42243;;113.346794;25.134874;Y;MDYZK;
courier;371;MABA Guangdong (马霸);http://maps.cga.harvard.edu/tgaz/placename/hvd_126306;;113.596169;24.683868;N;PA_1903;
courier;372;WUSHI Guangdong (乌石);http://maps.cga.harvard.edu/tgaz/placename/hvd_126308;;113.589706;24.574226;N;PA_1903;
courier;373;SHAKOU Guangdong (沙口);http://maps.cga.harvard.edu/tgaz/placename/hvd_126269;;113.514343;24.423576;N;PA_1903;
courier;374;HETOU Guangdong (河头);http://maps.cga.harvard.edu/tgaz/placename/hvd_126264;;113.461098;24.260078;N;PA_1903;
courier;375;WENGYUAN Guangdong (翁源);http://maps.cga.harvard.edu/tgaz/placename/hvd_42255;;113.820320;24.375137;B;PA_1903;
courier;376;LONGGUIXU Guangdong (龙归墟);http://maps.cga.harvard.edu/tgaz/placename/hvd_126324;;113.454010;24.728071;N;PA_1903;
courier;377;RUYUAN Guangdong (乳源);http://maps.cga.harvard.edu/tgaz/placename/hvd_42249;;113.269000;24.784000;B;PA_1903;
courier;378;SHAHE Guangdong (沙河);http://maps.cga.harvard.edu/tgaz/placename/hvd_16978;;112.889171;23.988983;N;PA_1903;
