FID,the_geom,MAJ_MINOR,SOURCE
ming_courier_routes_2014_kei.46,"MULTILINESTRING ((113.16870880126953 37.886783599853516, 112.69779968261719 37.767860412597656))",2,MDYZK
ming_courier_routes_2014_kei.47,"MULTILINESTRING ((112.69779968261719 37.76786041259771, 112.478928 37.727588999999966))",2,MDYZK
ming_courier_routes_2014_kei.48,"MULTILINESTRING ((115.96814727783203 39.48722076416027, 115.70320129394531 39.38615036010748))",1,1903 atlas
ming_courier_routes_2014_kei.49,"MULTILINESTRING ((115.37705082833031 39.35307191139469, 114.68877410888683 39.35401535034174))",1,1903 atlas
ming_courier_routes_2014_kei.50,"MULTILINESTRING ((114.68877410888672 39.3540153503418, 114.22921752929688 39.437744140625))",1,MDYZK
ming_courier_routes_2014_kei.51,"MULTILINESTRING ((114.22921752929688 39.43774414062506, 113.91641200000004 39.430939000000194))",1,MDYZK
ming_courier_routes_2014_kei.52,"MULTILINESTRING ((113.54460900000004 39.27515000000011, 113.27200317382824 39.189998626708984))",1,MDYZK
ming_courier_routes_2014_kei.53,"MULTILINESTRING ((113.27200317382812 39.189998626708984, 112.94904327392578 39.06039047241211))",1,MDYZK
ming_courier_routes_2014_kei.54,"MULTILINESTRING ((112.94904327392578 39.06039047241211, 112.71209716796875 38.726600646972656))",1,MDYZK
ming_courier_routes_2014_kei.55,"MULTILINESTRING ((112.73120100000006 38.39856300000014, 112.478928 37.727588999999966))",1,MDYZK
ming_courier_routes_2014_kei.56,"MULTILINESTRING ((116.25810241699219 37.68800735473633, 116.28741455078125 37.45164489746094))",1,MDYZK
ming_courier_routes_2014_kei.57,"MULTILINESTRING ((116.28741455078125 37.45164489746094, 116.27578735351562 37.151123046875))",1,MDYZK
ming_courier_routes_2014_kei.58,"MULTILINESTRING ((116.27578735351562 37.151123046875, 116.23100280761719 36.86162185668945))",1,MDYZK
ming_courier_routes_2014_kei.59,"MULTILINESTRING ((116.23100280761719 36.86162185668945, 116.25022888183594 36.58661651611328))",1,MDYZK
ming_courier_routes_2014_kei.60,"MULTILINESTRING ((116.25022888183594 36.58661651611334, 116.23942499999998 36.32958600000006))",1,MDYZK
ming_courier_routes_2014_kei.61,"MULTILINESTRING ((116.23666400000002 36.1210210000001, 116.29917144775402 35.910343170166016))",1,MDYZK
ming_courier_routes_2014_kei.62,"MULTILINESTRING ((116.2991714477539 35.910343170166016, 116.48555755615234 35.729854583740234))",1,MDYZK
ming_courier_routes_2014_kei.63,"MULTILINESTRING ((116.66960900000004 35.6504020000001, 116.82369995117199 35.556697845458984))",1,MDYZK
ming_courier_routes_2014_kei.64,"MULTILINESTRING ((116.82369995117188 35.556697845458984, 116.96843719482422 35.4038200378418))",1,
ming_courier_routes_2014_kei.65,"MULTILINESTRING ((116.96843719482422 35.4038200378418, 117.15816497802734 35.086090087890625))",1,MDYZ1K
ming_courier_routes_2014_kei.66,"MULTILINESTRING ((117.15816497802734 35.086090087890625, 117.18768310546875 34.26963424682617))",1,
ming_courier_routes_2014_kei.67,"MULTILINESTRING ((117.18768310546875 34.26963424682617, 116.97139739990234 33.64236831665039))",1,
ming_courier_routes_2014_kei.68,"MULTILINESTRING ((116.97139739990234 33.64236831665045, 117.31170700000018 33.31457500000016))",1,MDYZK
ming_courier_routes_2014_kei.69,"MULTILINESTRING ((117.31170700000018 33.31457500000016, 117.45860290527344 33.095729827880916))",1,MDYZK
ming_courier_routes_2014_kei.70,"MULTILINESTRING ((117.45860290527344 33.095729827880916, 117.53774599999997 32.865348000000154))",1,
ming_courier_routes_2014_kei.71,"MULTILINESTRING ((117.63999938964844 32.900001525878906, 117.94049835205078 32.51546859741211))",1,MDYZK
ming_courier_routes_2014_kei.72,"MULTILINESTRING ((117.94049835205078 32.51546859741211, 118.30416107177734 32.316993713378906))",1,MDYZK
ming_courier_routes_2014_kei.73,"MULTILINESTRING ((118.30416107177734 32.316993713378906, 118.61759948730469 32.06486892700195))",1,
ming_courier_routes_2014_kei.74,"MULTILINESTRING ((118.61759948730469 32.06486892700195, 118.76898956298828 32.05256271362305))",1,
ming_courier_routes_2014_kei.75,"MULTILINESTRING ((117.53774599999997 32.865348000000154, 117.67568969726574 32.530246734619254))",1,MDYZK
ming_courier_routes_2014_kei.76,"MULTILINESTRING ((117.59999847412121 32.04999923706066, 117.27645874023449 31.86445617675787))",1,MDYZK
ming_courier_routes_2014_kei.77,"MULTILINESTRING ((116.97504500000002 31.502898000000073, 116.93853759765636 31.456447601318303))",1,MDYZK
ming_courier_routes_2014_kei.78,"MULTILINESTRING ((116.93853759765636 31.456447601318303, 117.02015000000006 31.340373000000113))",1,MDYZK
ming_courier_routes_2014_kei.79,"MULTILINESTRING ((116.28741455078125 37.45164489746094, 116.42906951904297 37.15773391723633))",1,MDYZK
ming_courier_routes_2014_kei.80,"MULTILINESTRING ((116.42906951904297 37.15773391723633, 116.65238952636719 36.94535827636719))",1,MDYZK
ming_courier_routes_2014_kei.81,"MULTILINESTRING ((116.65238952636719 36.94535827636719, 116.78063201904297 36.70107650756836))",1,MDYZK
ming_courier_routes_2014_kei.82,"MULTILINESTRING ((119.43718719482422 32.39126968383789, 119.44429016113281 32.20648956298828))",1,
ming_courier_routes_2014_kei.83,"MULTILINESTRING ((119.44429016113281 32.20648956298828, 119.56985473632812 31.99580192565918))",1,MDYZK
ming_courier_routes_2014_kei.84,"MULTILINESTRING ((119.56985473632812 31.99580192565918, 119.95230102539062 31.78278350830078))",1,MDYZK
ming_courier_routes_2014_kei.85,"MULTILINESTRING ((119.95230102539062 31.78278350830078, 120.29766845703125 31.574613571166992))",1,MDYZK
ming_courier_routes_2014_kei.86,"MULTILINESTRING ((120.29766845703125 31.574613571166992, 120.61862182617188 31.31270980834961))",1,MDYZK
ming_courier_routes_2014_kei.87,"MULTILINESTRING ((120.61862182617188 31.31270980834961, 120.67659759521484 30.98777961730957))",1,MDYZK
ming_courier_routes_2014_kei.88,"MULTILINESTRING ((120.67659759521484 30.98777961730957, 120.75320434570312 30.76746940612793))",1,MDYZK
ming_courier_routes_2014_kei.89,"MULTILINESTRING ((120.75320434570312 30.76746940612793, 120.41873931884766 30.530447006225586))",1,
ming_courier_routes_2014_kei.90,"MULTILINESTRING ((120.41873931884766 30.530447006225586, 119.98290252685547 30.315349578857422))",1,
ming_courier_routes_2014_kei.91,"MULTILINESTRING ((119.98290252685547 30.315349578857422, 120.16862487792969 30.294124603271484))",1,
ming_courier_routes_2014_kei.92,"MULTILINESTRING ((120.16862487792969 30.294124603271484, 119.94775390625 30.053434371948242))",1,
ming_courier_routes_2014_kei.93,"MULTILINESTRING ((119.94775390625 30.053434371948242, 119.6649398803711 29.802457809448242))",1,
ming_courier_routes_2014_kei.94,"MULTILINESTRING ((119.6649398803711 29.802457809448242, 119.49885559082031 29.54448127746582))",1,
ming_courier_routes_2014_kei.95,"MULTILINESTRING ((119.49885559082031 29.54448127746582, 119.47885131835938 29.204452514648438))",1,
ming_courier_routes_2014_kei.96,"MULTILINESTRING ((119.47885131835938 29.204452514648438, 119.17237854003906 29.034788131713867))",1,
ming_courier_routes_2014_kei.97,"MULTILINESTRING ((119.17237854003906 29.034788131713867, 118.86764526367188 28.95682144165039))",1,
ming_courier_routes_2014_kei.98,"MULTILINESTRING ((118.86764526367199 28.956821441650504, 118.5026630000001 28.90373199999999))",1,
ming_courier_routes_2014_kei.99,"MULTILINESTRING ((118.5026630000001 28.90373199999999, 118.34401500000013 28.812477000000115))",1,
ming_courier_routes_2014_kei.100,"MULTILINESTRING ((118.19999694824207 27.216667175293082, 118.32378387451183 27.038864135742244))",1,
ming_courier_routes_2014_kei.101,"MULTILINESTRING ((118.32378387451183 27.038864135742244, 118.29058300000008 26.910593000000176))",1,
ming_courier_routes_2014_kei.102,"MULTILINESTRING ((118.16918182373047 26.642173767089957, 118.40935400000012 26.51427300000006))",1,
ming_courier_routes_2014_kei.103,"MULTILINESTRING ((118.67510223388672 26.428909301757926, 118.761289378539 26.359175954609498))",1,
ming_courier_routes_2014_kei.104,"MULTILINESTRING ((119.07029724121094 26.214040756225586, 119.32157897949219 26.07395362854004))",1,
ming_courier_routes_2014_kei.105,"MULTILINESTRING ((116.93860626220703 31.052280426025334, 116.79015700000014 30.922533000000044))",1,MDYZK
ming_courier_routes_2014_kei.106,"MULTILINESTRING ((116.56719970703125 30.63034629821783, 116.38888549804688 30.52555465698248))",1,MDYZK
ming_courier_routes_2014_kei.107,"MULTILINESTRING ((116.26507568359375 30.420059204101676, 116.21666717529297 30.366666793823242))",1,MDYZK
ming_courier_routes_2014_kei.108,"MULTILINESTRING ((116.11419677734375 30.151212692260742, 115.9349365234375 30.079200744628906))",1,MDYZK
ming_courier_routes_2014_kei.109,"MULTILINESTRING ((115.9349365234375 30.079200744628906, 115.98567962646484 29.72236442565918))",1,
ming_courier_routes_2014_kei.110,"MULTILINESTRING ((115.98567962646484 29.72236442565918, 116.04112199999997 29.453486000000055))",1,
ming_courier_routes_2014_kei.111,"MULTILINESTRING ((115.74502563476562 29.330564498901367, 115.7618179321289 29.087831497192383))",1,
ming_courier_routes_2014_kei.112,"MULTILINESTRING ((115.7618179321289 29.087831497192383, 115.89772033691406 28.674896240234375))",1,
ming_courier_routes_2014_kei.113,"MULTILINESTRING ((115.89772033691406 28.674896240234375, 115.83668899999998 28.411289000000124))",1,
ming_courier_routes_2014_kei.114,"MULTILINESTRING ((115.78578200000004 28.197754000000145, 115.39898681640625 28.015569686889705))",1,
ming_courier_routes_2014_kei.115,"MULTILINESTRING ((115.39898681640625 28.01556968688965, 115.3833999633789 27.75988006591797))",1,
ming_courier_routes_2014_kei.116,"MULTILINESTRING ((115.3833999633789 27.75988006591797, 115.14727783203125 27.55368995666504))",1,
ming_courier_routes_2014_kei.117,"MULTILINESTRING ((115.0938970000002 27.32751600000006, 115.1322479248048 27.214366912841797))",1,
ming_courier_routes_2014_kei.118,"MULTILINESTRING ((115.13224792480469 27.214366912841797, 114.97127532958984 27.103239059448242))",1,
ming_courier_routes_2014_kei.119,"MULTILINESTRING ((114.97127532958984 27.103239059448242, 114.8948745727539 26.792102813720703))",1,
ming_courier_routes_2014_kei.120,"MULTILINESTRING ((114.8948745727539 26.792102813720703, 114.77967834472656 26.461769104003906))",1,
ming_courier_routes_2014_kei.121,"MULTILINESTRING ((114.9054950000002 26.129812000000072, 114.93247985839844 25.847000122070426))",1,
ming_courier_routes_2014_kei.122,"MULTILINESTRING ((114.93247985839844 25.847000122070312, 114.74516296386719 25.658571243286133))",1,
ming_courier_routes_2014_kei.123,"MULTILINESTRING ((114.74516296386719 25.658571243286246, 114.55000305175815 25.483333587646598))",1,
ming_courier_routes_2014_kei.124,"MULTILINESTRING ((114.35057067871094 25.399953842163086, 114.30208587646484 25.11884307861328))",1,1903 atlas
ming_courier_routes_2014_kei.125,"MULTILINESTRING ((114.30208587646484 25.11884307861328, 114.06314799999996 24.945763))",1,1903 atlas
ming_courier_routes_2014_kei.126,"MULTILINESTRING ((113.4020767211914 24.172937393188477, 113.02213287353516 23.720727920532227))",1,1903 atlas
ming_courier_routes_2014_kei.127,"MULTILINESTRING ((113.02213287353516 23.720727920532227, 112.88607025146484 23.165868759155273))",1,
