collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;pleiades_id;geonames_id;geometry;notes
incanto;60050;Limassol;http://topotime.org/places/60050;Lemesos;33.041446;34.639816;707587;;[33.041446,34.639816];Neapolis/Theodosias
incanto;60109;Ligurie;http://topotime.org/places/60109;Ligurie;8.734722;44.455556;;3174725;[8.734722,44.455556];A province
incanto;60051;Lisbon;http://topotime.org/places/60051;Lisbon;-9.122201;38.702488;256338;;[-9.122201,38.702488];
incanto;60052;Locum.Buccari;http://topotime.org/places/60052;Locum Buccari;3.140964;39.923538;;;[3.140964,39.923538];??
incanto;60053;London;http://topotime.org/places/60053;London;-0.085691;51.507059;79574;;[-0.085691,51.507059];
incanto;60055;Malaga;http://topotime.org/places/60055;Malaga;-4.41506;36.72095;265963;;[-4.41506,36.72095];
incanto;60054;Majorque;http://topotime.org/places/60054;Mallorca;2.998611;39.58539;;2514239;[2.998611,39.58539];An iskand
incanto;60056;Marseille;http://topotime.org/places/60056;Marseille;5.369889;43.296346;148127;;[5.369889,43.296346];Massalia
incanto;60057;Maurocastron;http://topotime.org/places/60057;Maurocastron;30.316667;46.166667;226800;;[30.316667,46.166667];Tyras/Ophioussa
incanto;60058;Messine;http://topotime.org/places/60058;Messina;15.560811;38.192865;462538;;[15.560811,38.192865];Zancle/Messana
incanto;60059;Middlebourg;http://topotime.org/places/60059;Middlebourg;3.605556;51.494444;;;[3.605556,51.494444];Dutch town, no geonames id
incanto;60060;Modon;http://topotime.org/places/60060;Modon;21.709883;36.813244;570483;;[21.709883,36.813244];Methone; modern Methoni
incanto;60061;Monemvasia;http://topotime.org/places/60061;Monemvasia;23.055625;36.687586;;256795;[23.055625,36.687586];Founded 6th c.
incanto;60062;Montpellier;http://topotime.org/places/60062;Montpellier;3.877222;43.611944;;2992166;[3.877222,43.611944];
incanto;60063;Napoli;http://topotime.org/places/60063;Napoli;14.258106;40.825345;433014;;[14.258106,40.825345];
incanto;60064;Negrepont;http://topotime.org/places/60064;Negrepont;23.769356;38.572494;;262565;[23.769356,38.572494];An island, Euboea
incanto;60065;Nicosie;http://topotime.org/places/60065;Nicosie;33.35;35.167;462392;146268;[33.35,35.167];Nicosia
incanto;60067;Oran;http://topotime.org/places/60067;Oran;-0.651005;35.709941;;2485926;[-0.651005,35.709941];Founded 10c.
incanto;60068;Palerme;http://topotime.org/places/60068;Palermo;13.368583;38.120398;462410;;[13.368583,38.120398];Panormus
incanto;60069;Paphos;http://topotime.org/places/60069;Paphos;32.410604;34.754114;707596;;[32.410604,34.754114];
incanto;60070;Patras;http://topotime.org/places/60070;Patras;21.723553;38.247043;570567;;[21.723553,38.247043];Patrae
incanto;60071;Piombino;http://topotime.org/places/60071;Piombino;10.559041;42.934297;;3170674;[10.559041,42.934297];
incanto;60072;Pise;http://topotime.org/places/60072;Pisa;10.404239;43.716667;403253;;[10.404239,43.716667];
incanto;60073;Portus.Camere;http://topotime.org/places/60073;Portus Camere;1.9;51.26;;;[1.9,51.26];??
incanto;60074;Provato;http://topotime.org/places/60074;Provato;35.36;44.95;;;[35.36,44.95];??Crimea
incanto;60075;Pula;http://topotime.org/places/60075;Pula;13.831458;44.869725;197448;;[13.831458,44.869725];
incanto;60076;Ragusa;http://topotime.org/places/60076;Ragusa;18.103544;42.640699;;3201047;[18.103544,42.640699];Modern Dubrovnik?
incanto;60077;Rama;http://topotime.org/places/60077;Rama;34.866667;31.933333;;;[34.866667,31.933333];??
incanto;60078;Reggio.Calabre;http://topotime.org/places/60078;Reggio Calabre;15.66194;38.11139;452416;;[15.66194,38.11139];
incanto;60079;Rhodes;http://topotime.org/places/60079;Rhodes;28.231354;36.452487;590030;;[28.231354,36.452487];
incanto;60080;Romanie;http://topotime.org/places/60080;Romanie;24;39.5;;;[24,39.5];??
incanto;60114;Rovigno;http://topotime.org/places/60114;Rovigno;13.633333;45.083333;;3191518;[13.633333,45.083333];
incanto;60081;Salines;http://topotime.org/places/60081;Salines;33.629167;34.916667;;146400;[33.629167,34.916667];Modern Larnaca, Cyprus
incanto;60083;Sandwich;http://topotime.org/places/60083;Sandwich;1.339153;51.239233;;2638542;[1.339153,51.239233];
incanto;60082;San.Lucar;http://topotime.org/places/60082;Sanlucar de Barrameda;-6.22755;36.5969;;2511306;[-6.22755,36.5969];
incanto;60084;Savona;http://topotime.org/places/60084;Savona;8.479161;44.296439;;3167022;[8.479161,44.296439];
incanto;60108;Sclavonie;http://topotime.org/places/60108;Sclavonie;15;44.5;;;[15,44.5];??
incanto;60085;Sevilla;http://topotime.org/places/60085;Sevilla;-5.990519;37.388205;256210;;[-5.990519,37.388205];Hispalis
incanto;60086;Sfax;http://topotime.org/places/60086;Sfax;10.76107;34.705987;;2467454;[10.76107,34.705987];Site of Thaenae
incanto;60087;Sicily;http://topotime.org/places/60087;Sicily;14.192778;37.6425;;2523118;[14.192778,37.6425];An island
incanto;60088;Simisso;http://topotime.org/places/60088;Simisso;36.360351;41.301751;;;[36.360351,41.301751];Modern Samsun; Roman Amisus
incanto;60089;Sinope;http://topotime.org/places/60089;Sinop;35.130209;42.011466;857321;;[35.130209,42.011466];
incanto;60092;Syracuse;http://topotime.org/places/60092;Siracusa;15.284872;37.048459;362503;;[15.284872,37.048459];Syracusae
incanto;60090;Sluis;http://topotime.org/places/60090;Sluis;3.5;51.35;;2747117;[3.5,51.35];
incanto;60091;Southampton;http://topotime.org/places/60091;Southampton;-1.395278;50.915;;2637487;[-1.395278,50.915];
incanto;60093;Syria;http://topotime.org/places/60093;Syria;36.4;33.5;;163843;[36.4,33.5];A country
incanto;60094;Talamone;http://topotime.org/places/60094;Talamonis;11.152551;42.558556;;3165971;[11.152551,42.558556];Formerly Telamon
incanto;60095;Tana;http://topotime.org/places/60095;Tana;39.335434;47.268109;;;[39.335434,47.268109];
incanto;60096;Tenedos;http://topotime.org/places/60096;Tenedos;26.0225;39.816667;550912;;[26.0225,39.816667];
incanto;60097;Thessalonique;http://topotime.org/places/60097;Thessaloniki;22.945876;40.637805;491741;;[22.945876,40.637805];
incanto;60098;Tortosa;http://topotime.org/places/60098;Tortosa;0.521016;40.814375;246369;;[0.521016,40.814375];Dertosa
incanto;60099;Trebizonde;http://topotime.org/places/60099;Trabzon;39.757274;41.004318;857359;;[39.757274,41.004318];
incanto;60100;Tripoli.Libye;http://topotime.org/places/60100;Tripoli (Libya);13.178665;32.901336;344456;;[13.178665,32.901336];Oea
incanto;60101;Tripoli.Syria;http://topotime.org/places/60101;Tripoli (Syria);35.816817;34.458094;;266826;[35.816817,34.458094];In Lebanon, actually
incanto;60102;Tunis;http://topotime.org/places/60102;Tunis;10.165785;36.79745;315233;2464470;[10.165785,36.79745];Tunes
incanto;60103;Valencia;http://topotime.org/places/60103;Valentia;-0.291123;39.424686;266090;2509954;[-0.291123,39.424686];
incanto;60104;Venice;http://topotime.org/places/60104;Venice;12.3319;45.4398;818739154;3164603;[12.3319,45.4398];
incanto;60105;Vospero;http://topotime.org/places/60105;Vospero;36.48;45.36;;;[36.48,45.36];??
incanto;60106;Zara;http://topotime.org/places/60106;Zara;15.217873;44.121441;197312;;[15.217873,44.121441];Iader
